Switch 2,Switch 1
<SwitchTrace  swid=2 qdepth=0 qtdelta=31 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=126 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=45 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=29 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=55 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=61 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=40 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=38 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=38 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=25 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=53 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=43 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=52 |>] |>
